test_size,seg_len,overlap,lr,epochs,accuracy
0.2,512.0,256.0,0.0002,130.0,0.9007407407407407
MEAN,,,,,0.9007407407407407
BEST,512.0,,,,0.9007407407407407
WORST,512.0,,,,0.9007407407407407
