test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.5,0.0002,130.0,0.8472222222222222
0.3,200.0,0.5,0.0002,130.0,0.8445216049382716
0.4,200.0,0.5,0.0002,130.0,0.8469328703703703
0.2,300.0,0.5,0.0002,130.0,0.8472222222222222
0.3,300.0,0.5,0.0002,130.0,0.8454861111111112
0.4,300.0,0.5,0.0002,130.0,0.84765625
0.2,400.0,0.5,0.0002,130.0,0.8518518518518519
0.3,400.0,0.5,0.0002,130.0,0.8518518518518519
0.4,400.0,0.5,0.0002,130.0,0.8616898148148148
0.2,512.0,0.5,0.0002,130.0,0.8607407407407407
0.3,512.0,0.5,0.0002,130.0,0.8548864758144127
0.4,512.0,0.5,0.0002,130.0,0.8562962962962963
MEAN,,,,,0.8513631926861804
BEST,400.0,,,,0.8616898148148148
WORST,200.0,,,,0.8445216049382716
