test_size,seg_len,overlap,lr,epochs,accuracy
0.2,512.0,0.0,0.0002,90.0,0.8254437869822485
MEAN,,,,,0.8254437869822485
BEST,512.0,,,,0.8254437869822485
WORST,512.0,,,,0.8254437869822485
