test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.5,0.0002,130.0,0.8489583333333334
0.3,200.0,0.5,0.0002,130.0,0.8518518518518519
0.4,200.0,0.5,0.0002,130.0,0.8454861111111112
0.2,300.0,0.5,0.0002,130.0,0.8715277777777778
0.3,300.0,0.5,0.0002,130.0,0.8599537037037037
0.4,300.0,0.5,0.0002,130.0,0.8528645833333334
0.2,400.0,0.5,0.0002,130.0,0.8553240740740741
0.3,400.0,0.5,0.0002,130.0,0.8487654320987654
0.4,400.0,0.5,0.0002,130.0,0.8501157407407407
0.2,512.0,0.5,0.0002,130.0,0.8562962962962963
0.3,512.0,0.5,0.0002,130.0,0.8558736426456071
0.4,512.0,0.5,0.0002,130.0,0.8481481481481481
MEAN,,,,,0.8537638079262285
BEST,300.0,,,,0.8715277777777778
WORST,200.0,,,,0.8454861111111112
