test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.5,0.0002,130.0,0.8524305555555556
0.3,200.0,0.5,0.0002,130.0,0.8445216049382716
0.4,200.0,0.5,0.0002,130.0,0.8469328703703703
0.2,300.0,0.5,0.0002,130.0,0.8576388888888888
0.3,300.0,0.5,0.0002,130.0,0.8634259259259259
0.4,300.0,0.5,0.0002,130.0,0.8572048611111112
0.2,400.0,0.5,0.0002,130.0,0.8587962962962963
0.3,400.0,0.5,0.0002,130.0,0.8518518518518519
0.4,400.0,0.5,0.0002,130.0,0.8414351851851852
0.2,512.0,0.5,0.0002,130.0,0.84
0.3,512.0,0.5,0.0002,130.0,0.8460019743336624
0.4,512.0,0.5,0.0002,130.0,0.8392592592592593
MEAN,,,,,0.8499582728096983
BEST,300.0,,,,0.8634259259259259
WORST,512.0,,,,0.8392592592592593
