test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.0,0.0002,90.0,0.8333333333333334
0.3,200.0,0.0,0.0002,90.0,0.8256172839506173
0.4,200.0,0.0,0.0002,90.0,0.8292824074074074
0.2,300.0,0.0,0.0002,90.0,0.859375
0.3,300.0,0.0,0.0002,90.0,0.8460648148148148
0.4,300.0,0.0,0.0002,90.0,0.8376736111111112
0.2,400.0,0.0,0.0002,90.0,0.7615740740740741
0.3,400.0,0.0,0.0002,90.0,0.7839506172839507
0.4,400.0,0.0,0.0002,90.0,0.8067129629629629
0.2,512.0,0.0,0.0002,90.0,0.849112426035503
0.3,512.0,0.0,0.0002,90.0,0.8461538461538461
0.4,512.0,0.0,0.0002,90.0,0.8296296296296296
MEAN,,,,,0.8257066672297708
BEST,300.0,,,,0.859375
WORST,400.0,,,,0.7615740740740741
