test_size,seg_len,overlap,lr,epochs,accuracy
0.2,512.0,0.0,0.0002,90.0,0.8668639053254438
MEAN,,,,,0.8668639053254438
BEST,512.0,,,,0.8668639053254438
WORST,512.0,,,,0.8668639053254438
