test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.5,0.0002,130.0,0.8564814814814815
0.3,200.0,0.5,0.0002,130.0,0.8503086419753086
0.4,200.0,0.5,0.0002,130.0,0.8463541666666666
0.2,300.0,0.5,0.0002,130.0,0.8585069444444444
0.3,300.0,0.5,0.0002,130.0,0.8582175925925926
0.4,300.0,0.5,0.0002,130.0,0.8546006944444444
0.2,400.0,0.5,0.0002,130.0,0.8506944444444444
0.3,400.0,0.5,0.0002,130.0,0.845679012345679
0.4,400.0,0.5,0.0002,130.0,0.8524305555555556
0.2,512.0,0.5,0.0002,130.0,0.8474074074074074
0.3,512.0,0.5,0.0002,130.0,0.8519249753208292
0.4,512.0,0.5,0.0002,130.0,0.8451851851851852
MEAN,,,,,0.8514825918220033
BEST,300.0,,,,0.8585069444444444
WORST,512.0,,,,0.8451851851851852
