test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.0,0.0002,90.0,0.8159722222222222
0.3,200.0,0.0,0.0002,90.0,0.8294753086419753
0.4,200.0,0.0,0.0002,90.0,0.8263888888888888
0.2,300.0,0.0,0.0002,90.0,0.8194444444444444
0.3,300.0,0.0,0.0002,90.0,0.8217592592592593
0.4,300.0,0.0,0.0002,90.0,0.8107638888888888
0.2,400.0,0.0,0.0002,90.0,0.8101851851851852
0.3,400.0,0.0,0.0002,90.0,0.8240740740740741
0.4,400.0,0.0,0.0002,90.0,0.8194444444444444
0.2,512.0,0.0,0.0002,90.0,0.8550295857988166
0.3,512.0,0.0,0.0002,90.0,0.854043392504931
0.4,512.0,0.0,0.0002,90.0,0.8311111111111111
MEAN,,,,,0.8264743171220202
BEST,512.0,,,,0.8550295857988166
WORST,400.0,,,,0.8101851851851852
