test_size,seg_len,overlap,lr,epochs,accuracy
0.2,200.0,0.0,0.0002,90.0,0.8333333333333334
0.3,200.0,0.0,0.0002,90.0,0.8256172839506173
0.4,200.0,0.0,0.0002,90.0,0.8315972222222222
0.2,300.0,0.0,0.0002,90.0,0.8090277777777778
0.3,300.0,0.0,0.0002,90.0,0.8113425925925926
0.4,300.0,0.0,0.0002,90.0,0.8177083333333334
0.2,400.0,0.0,0.0002,90.0,0.8125
0.3,400.0,0.0,0.0002,90.0,0.8271604938271605
0.4,400.0,0.0,0.0002,90.0,0.8287037037037037
0.2,512.0,0.0,0.0002,90.0,0.8402366863905325
0.3,512.0,0.0,0.0002,90.0,0.8047337278106509
0.4,512.0,0.0,0.0002,90.0,0.8133333333333334
MEAN,,,,,0.8212745406896048
BEST,512.0,,,,0.8402366863905325
WORST,512.0,,,,0.8047337278106509
